Nationality,Which SAP Specialisation would you like to apply for?,Do you have a computer to do this course?,How do you connect to the internet?,Which country do you currently live in?,Aptitude test performance,Gender,Highest Education ACN,Current career role,Nearest Metropolitan area,How close do you live to this city/town?,Disability,Age,Have you created a profile on the Yoma platform?
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,Property and facility management,Lagos,I live in this town/city,No,34,Yes
Nigerian,Developer Associate,I only have a smart phone,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Female,Bachelor's Degree,,Owerri,I live in this town/city,No,34,Yes
Nigerian,End User Support Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Calabar,I live in this town/city,No,30,Yes
Nigerian,Developer Associate,I share a computer,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Female,Honour's Degree / Post-Graduate Diploma (NQF 8),,Adamawa/Yola town,I live in this town/city,No,34,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigerian,Very Strong,Female,Bachelor's Degree,,Mgbidi,I live in this town/city,No,29,Yes
Nigerian,Developer Associate,I only have a smart phone,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Very Strong,Female,Tertiary Diploma,,Ado EKITI,I live in this town/city,No,22,No
Nigerian,Technology Consultant Associate,I only have a smart phone,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Female,Bachelor's Degree,,Ibadan,I live in this town/city,No,26,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Lagos,I live in this town/city,No,30,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Ilorin,I live more than 10km away from this town or city,No,31,Yes
Nigerian,Developer Associate,I only have a smart phone,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Lagos,I live in this town/city,No,36,Yes
Nigerian,Developer Associate,"I have access to a computer, but it's not mine","I use mobile data, and can afford 2-4GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,Computer Science Teacher,Abuja,I live within 5km of this town/city,No,31,Yes
Nigerian,End User Support Associate,"I have access to a computer, but it's not mine","I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Graduate Diploma,Kakuri Kaduna,I live in this town/city,No,35,Yes
Nigerian,Developer Associate,"I don't have access to a computer, but can arrange to get/use one.","I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Strong,Male,Bachelor's Degree,,Onitsha,I live in this town/city,No,29,Yes
Nigerian,Developer Associate,I have my own computer,I have very limited mobile data.,Nigeria,Passable,Male,Bachelor's Degree,,Kaduna,I live in this town/city,No,26,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Adequate,Female,Bachelor's Degree,,JOS,I live in this town/city,No,28,Yes
Nigerian,End User Support Associate,I only have a smart phone,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Female,Bachelor's Degree,,Makurdi,I live more than 10km away from this town or city,No,24,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Very Strong,Male,Bachelor's Degree,,Sagamu,I live in this town/city,No,25,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I use mobile data, and can afford 2GB or less a month",Nigeria,Adequate,Male,Bachelor's Degree,,Adamawa Yola,I live in this town/city,No,26,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Ikeja,I live in this town/city,No,33,No
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Female,Bachelor's Degree,"I am an entrepreneur, a baker to be precise ",Abeokuta,I live in this town/city,No,25,No
Nigerian,Technology Consultant Associate,I only have a smart phone,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Male,Bachelor's Degree,Teaching,Calabar,I live in this town/city,No,39,Yes
Nigerian,Developer Associate,I have my own computer but it is faulty,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,High School,,Abakaliki,I live in this town/city,No,16,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Strong,Male,Bachelor's Degree,,Kano,I live in this town/city,No,30,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Associate website developer,Lagos Ikeja,I live in this town/city,No,22,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Site manager,Abuja,I live 5-10km away from this town/city,No,35,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Enugu,I live in this town/city,No,33,Yes
Nigerian,Technology Consultant Associate,"I have access to a computer, but it's not mine","I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Auditor,"Agbado, Lagos",I live in this town/city,No,40,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Postgraduate Degree (e.g. Masters),Back Office Transmission Engineer,Minna,I live in this town/city,No,36,Yes
Nigerian,Developer Associate,I only have a smart phone,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Ifako-Ijaye/Fagba,I live more than 10km away from this town or city,No,34,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Female,Bachelor's Degree,Assistant incharge,Kano city,I live in this town/city,No,27,Yes
Nigerian,Technology Consultant Associate,I only have a smart phone,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Adequate,Female,Bachelor's Degree,,Ibadan,I live in this town/city,No,31,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Minna,I live in this town/city,No,26,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigerian,Adequate,Male,Bachelor's Degree,,Lagos,I live in this town/city,No,40,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Graphic designer,"Apapa, Lagos ",I live in this town/city,No,33,Yes
Nigerian,End User Support Associate,I have my own computer,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Male,Bachelor's Degree,Teaching,Abuja,I live in this town/city,No,0,No
Nigerian,Technology Consultant Associate,I have my own computer,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Male,Bachelor's Degree,Technical support engineer,Abuja,I live in this town/city,No,27,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Male,Bachelor's Degree,,Port harcourt,I live in this town/city,No,29,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2GB or less a month",Nigeria,Strong,Male,Bachelor's Degree,,Magboro,I live in this town/city,No,30,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Male,Bachelor's Degree,,Ibadan,I live more than 10km away from this town or city,No,29,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Male,Bachelor's Degree,,Onitsha,I live within 5km of this town/city,No,0,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Ibadan,I live in this town/city,No,25,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,"Adequate, Adequate",Female,Tertiary Diploma,A  computer software programmer,ONITSHA,I live in this town/city,No,29,Yes
Nigerian,End User Support Associate,I only have a smart phone,"I use mobile data, and can afford 2GB or less a month",Nigerian,Passable,Female,Postgraduate Diploma,Education,Port Harcourt,I live in this town/city,No,28,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Strong,Male,Bachelor's Degree,,Lagos,I live in this town/city,No,27,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Civil servant,Abuja,I live within 5km of this town/city,No,31,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Abuja,I live more than 10km away from this town or city,No,24,Yes
Nigerian,Developer Associate,I only have a smart phone,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Female,Bachelor's Degree,,Ikeja,I live within 5km of this town/city,No,31,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Tertiary Diploma,,Ota,I live in this town/city,No,31,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Postgraduate Degree (e.g. Masters),Electrical Engineer,Kaduna,I live in this town/city,No,35,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Warri,I live in this town/city,Yes,31,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Male,Bachelor's Degree,,Lapai,I live in this town/city,No,38,Yes
